馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
アドマイヤベガ,ヘイルトゥリーズン系,5,1200m〜2000m,早熟,〇,C,A,A,A,B,,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,トニービン,カンパラ,カラムーン,ホーンビーム,ノーザンダンサー,ニアークティック,Tom Fool,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nearctic,Nearctic,Tom Fool,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ゼダーン系,ゼダーン系,ゼダーン系,ハイペリオン系,ノーザンダンサー系,ニアークティック系,トムフール系
アドマイヤベガ-極走-,ヘイルトゥリーズン系,5,1200m〜2400m,普通,〇,C,A,A,A,B,一等星,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,トニービン,カンパラ,カラムーン,ホーンビーム,ノーザンダンサー,ニアークティック,Tom Fool,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Nasrullah,Nasrullah,Nasrullah,Hampton,Nearctic,Nearctic,Tom Fool,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,ゼダーン系,ゼダーン系,ゼダーン系,ハイペリオン系,ノーザンダンサー系,ニアークティック系,トムフール系
アドマイヤマーズ,ヘイルトゥリーズン系,5,1600m〜1600m,早熟,△,A,A,A,B,B,,,ダイワメジャー,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,ノーザンテースト,ノーザンダンサー,クリムゾンサタン,Medicean,マキャベリアン,ミスタープロスペクター,ストームバード,シングスピール,In the Wings,Linamix,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Teddy,Nearctic,Nearctic,Himyar,Native Dancer,Native Dancer,Native Dancer,Nearctic,Nearctic,Nearctic,Nearctic,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ヒムヤー系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系
アドマイヤムーン,レイズアネイティヴ系,7,1200m〜1800m,普通,△,A,B,A,B,B,月下万象,,エンドスウィープ,フォーティナイナー,ミスタープロスペクター,Raise a Native,トムロルフ,Dance Spell,ノーザンダンサー,Thinking Cap,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,Kris,シャーペンアップ,ノノアルコ,Native Dancer,Native Dancer,Native Dancer,Native Dancer,St.Simon,Nearctic,Nearctic,Eclipse,Royal Charger,Royal Charger,Royal Charger,Teddy,Native Dancer,Native Dancer,Nearctic,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,リボー系,ノーザンダンサー系,ノーザンダンサー系,エクリプス系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,エタン系,エタン系,ニアークティック系
アドマイヤムーン2007,レイズアネイティヴ系,7,1200m〜1800m,普通,△,A,B,A,B,B,月下万象,,エンドスウィープ,フォーティナイナー,ミスタープロスペクター,Raise a Native,トムロルフ,Dance Spell,ノーザンダンサー,Thinking Cap,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,アンダースタンディング,Kris,シャーペンアップ,ノノアルコ,Native Dancer,Native Dancer,Native Dancer,Native Dancer,St.Simon,Nearctic,Nearctic,Eclipse,Royal Charger,Royal Charger,Royal Charger,Teddy,Native Dancer,Native Dancer,Nearctic,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,リボー系,ノーザンダンサー系,ノーザンダンサー系,エクリプス系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,テディ系,エタン系,エタン系,ニアークティック系
アニマルキングダム,レッドゴッド系,5,1800m〜2000m,普通,◎,B,B,A,A,C,,,Leroidesanimaux,キャンディストライプス,ブラッシンググルーム,Red God,リファール,アホヌーラ,ロレンザッチオ,High Line,アカテナンゴ,Surumu,Literat,Aggressor,ダンシングブレーヴ,リファール,Aspros,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Nearctic,Herod,Herod,Hampton,Hampton,Hampton,Hampton,Swynford,Nearctic,Nearctic,Phalaris,レッドゴッド系,レッドゴッド系,レッドゴッド系,レッドゴッド系,ノーザンダンサー系,クラリオン系,クラリオン系,ハイペリオン系,ハンプトン系,ハンプトン系,ハンプトン系,ブランドフォード系,ノーザンダンサー系,ノーザンダンサー系,ファリス系
アフリート,レイズアネイティヴ系,5,1200m〜2000m,普通,◎,B,B,A,A,A,,,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,Polynesian,Case Ace,ナシュア,ナスルーラ,Count Fleet,Venetian Jester,Tom Fool,Menow,プリンスキロ,Green Ticket,Traffic Judge,Thinking Cap,Native Dancer,Native Dancer,Native Dancer,Phalaris,Teddy,Nasrullah,Nasrullah,Eclipse,Tom Fool,Tom Fool,Phalaris,St.Simon,Hampton,Hampton,Eclipse,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ファラリス系,テディ系,ナスルーラ系,ナスルーラ系,エクリプス系,トムフール系,トムフール系,ファラリス系,プリンスキロ系,ハイペリオン系,ハイペリオン系,エクリプス系
アフリート-覇走-,レイズアネイティヴ系,5,1200m〜2000m,普通,◎,B,B,A,A,A,Imperial,,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,Polynesian,Case Ace,ナシュア,ナスルーラ,Count Fleet,Venetian Jester,Tom Fool,Menow,プリンスキロ,Green Ticket,Traffic Judge,Thinking Cap,Native Dancer,Native Dancer,Native Dancer,Phalaris,Teddy,Nasrullah,Nasrullah,Eclipse,Tom Fool,Tom Fool,Phalaris,St.Simon,Hampton,Hampton,Eclipse,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ファラリス系,テディ系,ナスルーラ系,ナスルーラ系,エクリプス系,トムフール系,トムフール系,ファラリス系,プリンスキロ系,ハイペリオン系,ハイペリオン系,エクリプス系
アブクマポーロ1997,レッドゴッド系,5,1600m〜2400m,晩成,◎,B,A,A,B,A,落花流水,,クリスタルグリッターズ,ブラッシンググルーム,Red God,ナスルーラ,ワイルドリスク,Donut King,Determine,Fleet Nasrullah,ペール,マイリージャン,My Babu,Pharis,プロント,Prince Taj,ヒンドスタン,Nasrullah,Nasrullah,Nasrullah,Nasrullah,St.Simon,Hampton,Hampton,Nasrullah,Herod,Herod,Herod,Phalaris,St.Simon,St.Simon,St.Simon,レッドゴッド系,レッドゴッド系,レッドゴッド系,ナスルーラ系,ワイルドリスク系,ハイペリオン系,ハイペリオン系,ナスルーラ系,マイバブー系,マイバブー系,マイバブー系,ファリス系,プリンスビオ系,プリンスビオ系,ボワルセル系
アベシ,リボー系,collabo_1007,1800m〜2400m,普通,◎,A,C,A,B,C,,,プレザントコロニー,ヒズマジェスティ,Ribot,Tenerani,アリバイ,Sunrise Flight,Double Jay,Cockrullah,キートゥザミント,グロースターク,Ribot,プリンスキロ,On-and-On,ナスルーラ,Ponder,St.Simon,St.Simon,St.Simon,St.Simon,Hampton,Himyar,Himyar,Nasrullah,St.Simon,St.Simon,St.Simon,St.Simon,Nasrullah,Nasrullah,Hampton,リボー系,リボー系,リボー系,セントサイモン系,ハイペリオン系,ヒムヤー系,ヒムヤー系,ナスルーラ系,リボー系,リボー系,リボー系,プリンスキロ系,ナスルーラ系,ナスルーラ系,ハイペリオン系
アホヌーラ1987,クラリオン系,7,1000m〜2400m,普通,△,B,A,A,A,B,The Fool,,ロレンザッチオ,Klairon,Clarion,Djebel,Kantar,The Phoenix,Chateau Bouscaut,Big Game,Martial,Hill Gail,Bull Lea,コートマーシャル,Whistler,Panorama,Borealis,Herod,Herod,Herod,Herod,Eclipse,Eclipse,Eclipse,Swynford,Teddy,Teddy,Teddy,Fairway,Eclipse,Eclipse,Teddy,クラリオン系,クラリオン系,クラリオン系,トウルビヨン系,エクリプス系,エクリプス系,エクリプス系,ブランドフォード系,テディ系,テディ系,テディ系,フェアトライアル系,エクリプス系,エクリプス系,テディ系
アマッキャイーン-覇魂-,マイバブー系,collabo_1049_03,1600m〜2500m,普通,◎,A,B,A,A,A,相思相愛,,パーソロン,マイリージャン,My Babu,Djebel,Coup de Lyon,Pharis,Pharos,Abjer,ネヴァービート,ネヴァーセイダイ,ナスルーラ,Big Game,Right Royal,Owen Tudor,Fair Trial,Herod,Herod,Herod,Herod,Hampton,Phalaris,Phalaris,Teddy,Nasrullah,Nasrullah,Nasrullah,Swynford,Hampton,Hampton,Fairway,マイバブー系,マイバブー系,マイバブー系,トウルビヨン系,サンインロー系,ファリス系,ファロス系,テディ系,ネヴァーセイダイ系,ネヴァーセイダイ系,ナスルーラ系,ブランドフォード系,オーエンテューダー系,オーエンテューダー系,フェアトライアル系
アマノメガネオー-瞬走-,ゼダーン系,collabo_1049_01,1200m〜2000m,普通,△,B,A,A,A,A,料理巧者,,カラムーン,ゼダーン,Grey Sovereign,ナスルーラ,Vilmorin,Prince Bio,Prince Rose,Palestine,ノーザンダンサー,ニアークティック,ネアルコ,ネイティヴダンサー,テューダーミンストレル,Owen Tudor,Stymie,Nasrullah,Nasrullah,Nasrullah,Nasrullah,Eclipse,St.Simon,St.Simon,Fairway,Nearctic,Nearctic,Phalaris,Native Dancer,Hampton,Hampton,Himyar,ゼダーン系,ゼダーン系,グレイソヴリン系,ナスルーラ系,エクリプス系,プリンスビオ系,プリンスローズ系,フェアトライアル系,ノーザンダンサー系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,オーエンテューダー系,オーエンテューダー系,ヒムヤー系
アマヲカケル,ノーザンダンサー系,5,1600m〜3200m,普通,〇,A,B,A,A,B,,,シーザスターズ,ケープクロス,グリーンデザート,ダンチヒ,アホヌーラ,ミスワキ,ミスタープロスペクター,Lombard,シルバーチャーム,シルバーバック,バックパサー,Poker,ブライアンズタイム,ロベルト,ダンサーズイメージ,Nearctic,Nearctic,Nearctic,Nearctic,Herod,Native Dancer,Native Dancer,Teddy,Tom Fool,Tom Fool,Tom Fool,St.Simon,Royal Charger,Royal Charger,Native Dancer,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,クラリオン系,レイズアネイティヴ系,レイズアネイティヴ系,テディ系,トムフール系,トムフール系,トムフール系,プリンスキロ系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ネイティヴダンサー系
アメリカンファラオ-覇走-,レイズアネイティヴ系,11,1000m〜2400m,普通,◎,B,A,A,A,A,Ruler,,Pioneerof the Nile,エンパイアメーカー,Unbridled,ファピアノ,エルグランセニョール,Lord at War,General,Key to the Kingdom,Yankee Gentleman,ストームキャット,ストームバード,Flying Paster,Ecliptical,Exclusive Native,Tri Jet,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nearctic,Fairway,Fairway,Nasrullah,Nearctic,Nearctic,Nearctic,Nasrullah,Native Dancer,Native Dancer,Tom Fool,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,フェアトライアル系,フェアトライアル系,ボールドルーラー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ナスルーラ系,レイズアネイティヴ系,レイズアネイティヴ系,トムフール系
アメリカンファラオ2015,レイズアネイティヴ系,7,1400m〜2400m,普通,◎,B,A,A,A,A,Absolute,,Pioneerof the Nile,エンパイアメーカー,Unbridled,ファピアノ,エルグランセニョール,Lord at War,General,Key to the Kingdom,Yankee Gentleman,ストームキャット,ストームバード,Flying Paster,Ecliptical,Exclusive Native,Tri Jet,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nearctic,Fairway,Fairway,Nasrullah,Nearctic,Nearctic,Nearctic,Nasrullah,Native Dancer,Native Dancer,Tom Fool,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ノーザンダンサー系,フェアトライアル系,フェアトライアル系,ボールドルーラー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ナスルーラ系,レイズアネイティヴ系,レイズアネイティヴ系,トムフール系
アメリカンポスト,ネイティヴダンサー系,5,1400m〜2800m,早熟,△,A,A,A,B,B,,,Bering,Arctic Tern,Sea-Bird,Dan Cupid,Hasty Road,リファール,ノーザンダンサー,Le Fabuleux,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,シャーリーハイツ,ミルリーフ,ハビタット,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Teddy,Nearctic,Nearctic,St.Simon,Nearctic,Nearctic,Nearctic,Royal Charger,Nasrullah,Nasrullah,Royal Charger,ネイティヴダンサー系,ネイティヴダンサー系,ネイティヴダンサー系,ネイティヴダンサー系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ワイルドリスク系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,ネヴァーベンド系,ネヴァーベンド系,ハビタット系
アメリカンポスト-堅忍-,ネイティヴダンサー系,5,1400m〜2800m,早熟,△,A,A,A,B,B,,,Bering,Arctic Tern,Sea-Bird,Dan Cupid,Hasty Road,リファール,ノーザンダンサー,Le Fabuleux,サドラーズウェルズ,ノーザンダンサー,ニアークティック,Bold Reason,シャーリーハイツ,ミルリーフ,ハビタット,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Teddy,Nearctic,Nearctic,St.Simon,Nearctic,Nearctic,Nearctic,Royal Charger,Nasrullah,Nasrullah,Royal Charger,ネイティヴダンサー系,ネイティヴダンサー系,ネイティヴダンサー系,ネイティヴダンサー系,テディ系,ノーザンダンサー系,ノーザンダンサー系,ワイルドリスク系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ヘイルトゥリーズン系,ネヴァーベンド系,ネヴァーベンド系,ハビタット系
アメリゴ-覇走-,ネアルコ系,5,1200m〜2700m,晩成,〇,A,A,A,B,B,,,ネアルコ,Pharos,Phalaris,Polymelus,Chaucer,Havresac,Rabelais,Spearmint,Precipitation,Hurry On,Marcovil,Bachelor's Double,ハイペリオン,Gainsborough,Grand Parade,Phalaris,Phalaris,Phalaris,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Matchem,Matchem,Matchem,Eclipse,Hampton,Hampton,Eclipse,ネアルコ系,ファロス系,ファラリス系,エクリプス系,セントサイモン系,セントサイモン系,セントサイモン系,エクリプス系,マッチェム系,マッチェム系,マッチェム系,エクリプス系,ハイペリオン系,ハンプトン系,エクリプス系
